video,frame_idx,split,n_red,n_yellow
Данные/25_12-20/25_12-20.mp4,235,train,8,4
Данные/25_12-20/25_12-20.mp4,240,train,12,8
Данные/25_12-20/25_12-20.mp4,245,train,12,7
Данные/25_12-20/25_12-20.mp4,250,train,9,5
Данные/25_12-20/25_12-20.mp4,255,train,14,7
Данные/25_12-20/25_12-20.mp4,260,train,13,6
Данные/25_12-20/25_12-20.mp4,265,val,9,5
Данные/25_12-20/25_12-20.mp4,270,train,9,4
Данные/25_12-20/25_12-20.mp4,275,train,8,4
Данные/25_12-20/25_12-20.mp4,280,train,7,5
Данные/25_12-20/25_12-20.mp4,285,train,7,4
Данные/25_12-20/25_12-20.mp4,290,train,8,4
Данные/25_12-20/25_12-20.mp4,295,train,8,3
Данные/25_12-20/25_12-20.mp4,300,train,8,2
Данные/25_12-20/25_12-20.mp4,305,train,11,2
Данные/25_12-20/25_12-20.mp4,310,train,12,2
Данные/25_12-20/25_12-20.mp4,315,train,13,2
Данные/25_12-20/25_12-20.mp4,320,train,13,1
Данные/25_12-20/25_12-20.mp4,325,train,12,1
Данные/25_12-20/25_12-20.mp4,330,train,13,1
Данные/25_12-20/25_12-20.mp4,335,train,13,2
Данные/25_12-20/25_12-20.mp4,340,train,11,2
Данные/25_12-20/25_12-20.mp4,345,train,9,2
Данные/25_12-20/25_12-20.mp4,350,train,10,2
Данные/25_12-20/25_12-20.mp4,355,train,11,2
Данные/25_12-20/25_12-20.mp4,360,train,12,2
Данные/25_12-20/25_12-20.mp4,365,train,12,3
Данные/25_12-20/25_12-20.mp4,370,val,14,3
Данные/25_12-20/25_12-20.mp4,375,val,10,2
Данные/25_12-20/25_12-20.mp4,380,val,13,2
Данные/25_12-20/25_12-20.mp4,385,train,10,0
Данные/25_12-20/25_12-20.mp4,390,train,9,0
Данные/25_12-20/25_12-20.mp4,395,train,8,0
Данные/25_12-20/25_12-20.mp4,400,val,9,0
Данные/25_12-20/25_12-20.mp4,405,train,8,0
Данные/25_12-20/25_12-20.mp4,410,train,8,0
Данные/25_12-20/25_12-20.mp4,415,train,8,0
Данные/25_12-20/25_12-20.mp4,420,train,17,3
Данные/25_12-20/25_12-20.mp4,425,train,15,2
Данные/25_12-20/25_12-20.mp4,430,val,8,0
Данные/25_12-20/25_12-20.mp4,435,train,16,2
Данные/25_12-20/25_12-20.mp4,440,train,17,2
Данные/25_12-20/25_12-20.mp4,445,train,17,2
Данные/25_12-20/25_12-20.mp4,450,train,18,3
Данные/25_12-20/25_12-20.mp4,455,train,7,0
Данные/25_12-20/25_12-20.mp4,460,val,9,0
Данные/25_12-20/25_12-20.mp4,465,train,8,1
Данные/25_12-20/25_12-20.mp4,470,train,9,1
Данные/25_12-20/25_12-20.mp4,475,train,6,1
Данные/25_12-20/25_12-20.mp4,480,train,8,1
Данные/25_12-20/25_12-20.mp4,485,train,9,2
Данные/25_12-20/25_12-20.mp4,490,train,9,3
Данные/25_12-20/25_12-20.mp4,495,train,10,2
Данные/25_12-20/25_12-20.mp4,500,train,11,4
Данные/25_12-20/25_12-20.mp4,505,train,13,2
Данные/25_12-20/25_12-20.mp4,510,train,10,5
Данные/25_12-20/25_12-20.mp4,515,train,9,5
Данные/25_12-20/25_12-20.mp4,520,train,13,6
Данные/25_12-20/25_12-20.mp4,525,train,8,9
Данные/25_12-20/25_12-20.mp4,530,train,7,9
Данные/25_12-20/25_12-20.mp4,535,train,8,8
Данные/25_12-20/25_12-20.mp4,540,train,10,7
Данные/25_12-20/25_12-20.mp4,545,train,8,7
Данные/25_12-20/25_12-20.mp4,550,val,11,6
Данные/25_12-20/25_12-20.mp4,555,train,11,4
Данные/25_12-20/25_12-20.mp4,560,val,9,3
Данные/25_12-20/25_12-20.mp4,565,train,10,3
Данные/25_12-20/25_12-20.mp4,570,train,12,3
Данные/25_12-20/25_12-20.mp4,575,train,11,3
Данные/25_12-20/25_12-20.mp4,580,train,11,3
Данные/25_12-20/25_12-20.mp4,585,val,9,0
Данные/25_12-20/25_12-20.mp4,590,train,12,3
Данные/25_12-20/25_12-20.mp4,595,train,6,0
Данные/25_12-20/25_12-20.mp4,600,val,7,0
Данные/25_12-20/25_12-20.mp4,605,train,12,3
Данные/25_12-20/25_12-20.mp4,610,val,6,0
Данные/25_12-20/25_12-20.mp4,615,train,11,3
Данные/25_12-20/25_12-20.mp4,620,train,13,3
Данные/25_12-20/25_12-20.mp4,625,val,13,2
Данные/25_12-20/25_12-20.mp4,630,train,11,2
Данные/25_12-20/25_12-20.mp4,635,train,13,2
Данные/25_12-20/25_12-20.mp4,640,train,15,2
Данные/25_12-20/25_12-20.mp4,645,train,14,2
Данные/25_12-20/25_12-20.mp4,650,train,13,3
Данные/25_12-20/25_12-20.mp4,655,train,14,3
Данные/25_12-20/25_12-20.mp4,660,train,17,3
Данные/25_12-20/25_12-20.mp4,665,train,19,2
Данные/25_12-20/25_12-20.mp4,670,train,13,2
Данные/25_12-20/25_12-20.mp4,675,train,16,3
Данные/25_12-20/25_12-20.mp4,680,train,15,3
Данные/25_12-20/25_12-20.mp4,685,train,17,4
Данные/25_12-20/25_12-20.mp4,690,train,15,4
Данные/25_12-20/25_12-20.mp4,695,train,12,3
Данные/25_12-20/25_12-20.mp4,700,val,12,3
Данные/25_12-20/25_12-20.mp4,705,train,12,3
Данные/25_12-20/25_12-20.mp4,710,train,13,3
Данные/25_12-20/25_12-20.mp4,715,train,13,3
Данные/25_12-20/25_12-20.mp4,720,train,13,3
Данные/25_12-20/25_12-20.mp4,725,train,12,3
Данные/25_12-20/25_12-20.mp4,730,val,12,3
Данные/25_12-20/25_12-20.mp4,735,train,2,1
Данные/25_12-20/25_12-20.mp4,740,train,12,3
Данные/25_12-20/25_12-20.mp4,745,train,3,0
Данные/25_12-20/25_12-20.mp4,750,train,3,0
Данные/25_12-20/25_12-20.mp4,755,val,4,1
Данные/25_12-20/25_12-20.mp4,760,train,13,3
Данные/25_12-20/25_12-20.mp4,765,train,4,1
Данные/25_12-20/25_12-20.mp4,770,train,4,1
Данные/25_12-20/25_12-20.mp4,775,val,4,1
Данные/25_12-20/25_12-20.mp4,780,train,12,3
Данные/25_12-20/25_12-20.mp4,785,train,14,3
Данные/25_12-20/25_12-20.mp4,790,train,13,2
Данные/25_12-20/25_12-20.mp4,795,train,12,3
Данные/25_12-20/25_12-20.mp4,800,train,12,3
Данные/25_12-20/25_12-20.mp4,805,train,14,3
Данные/25_12-20/25_12-20.mp4,810,val,5,1
Данные/25_12-20/25_12-20.mp4,815,train,5,2
Данные/25_12-20/25_12-20.mp4,820,train,13,3
Данные/26_12-20/26_12-20.mp4,0,train,19,3
Данные/26_12-20/26_12-20.mp4,5,train,18,2
Данные/26_12-20/26_12-20.mp4,10,train,18,2
Данные/26_12-20/26_12-20.mp4,15,train,19,2
Данные/26_12-20/26_12-20.mp4,20,val,18,2
Данные/26_12-20/26_12-20.mp4,25,train,18,2
Данные/26_12-20/26_12-20.mp4,30,train,17,2
Данные/26_12-20/26_12-20.mp4,35,train,17,2
Данные/26_12-20/26_12-20.mp4,40,train,19,2
Данные/26_12-20/26_12-20.mp4,45,train,20,1
Данные/26_12-20/26_12-20.mp4,50,train,22,1
Данные/26_12-20/26_12-20.mp4,55,train,23,1
Данные/26_12-20/26_12-20.mp4,60,train,23,1
Данные/26_12-20/26_12-20.mp4,65,train,23,1
Данные/26_12-20/26_12-20.mp4,70,train,24,1
Данные/26_12-20/26_12-20.mp4,75,train,21,2
Данные/26_12-20/26_12-20.mp4,80,train,19,0
Данные/26_12-20/26_12-20.mp4,85,train,16,1
Данные/26_12-20/26_12-20.mp4,90,val,16,0
Данные/26_12-20/26_12-20.mp4,95,train,18,0
Данные/26_12-20/26_12-20.mp4,100,train,17,0
Данные/26_12-20/26_12-20.mp4,105,train,17,0
Данные/26_12-20/26_12-20.mp4,110,train,17,0
Данные/26_12-20/26_12-20.mp4,115,train,12,3
Данные/26_12-20/26_12-20.mp4,120,train,17,0
Данные/26_12-20/26_12-20.mp4,125,train,13,4
Данные/26_12-20/26_12-20.mp4,130,train,14,4
Данные/26_12-20/26_12-20.mp4,135,train,19,1
Данные/26_12-20/26_12-20.mp4,145,val,15,3
Данные/26_12-20/26_12-20.mp4,180,train,21,0
Данные/26_12-20/26_12-20.mp4,185,train,19,0
Данные/26_12-20/26_12-20.mp4,190,train,18,0
Данные/26_12-20/26_12-20.mp4,195,train,19,0
Данные/26_12-20/26_12-20.mp4,200,train,18,0
Данные/26_12-20/26_12-20.mp4,205,train,17,0
Данные/26_12-20/26_12-20.mp4,210,train,20,0
Данные/26_12-20/26_12-20.mp4,215,train,17,0
Данные/26_12-20/26_12-20.mp4,220,train,16,0
Данные/26_12-20/26_12-20.mp4,225,train,16,0
Данные/26_12-20/26_12-20.mp4,230,train,18,0
Данные/26_12-20/26_12-20.mp4,235,train,17,0
Данные/26_12-20/26_12-20.mp4,240,train,17,0
Данные/26_12-20/26_12-20.mp4,245,train,18,0
Данные/26_12-20/26_12-20.mp4,250,train,17,0
Данные/26_12-20/26_12-20.mp4,255,train,15,0
Данные/26_12-20/26_12-20.mp4,260,val,12,0
Данные/26_12-20/26_12-20.mp4,265,train,12,0
Данные/26_12-20/26_12-20.mp4,270,train,12,0
Данные/26_12-20/26_12-20.mp4,275,train,11,0
Данные/26_12-20/26_12-20.mp4,280,train,12,0
Данные/26_12-20/26_12-20.mp4,285,train,11,0
Данные/26_12-20/26_12-20.mp4,290,val,10,0
Данные/26_12-20/26_12-20.mp4,295,train,11,0
Данные/26_12-20/26_12-20.mp4,300,train,20,2
Данные/26_12-20/26_12-20.mp4,305,train,20,2
Данные/26_12-20/26_12-20.mp4,310,train,10,0
Данные/26_12-20/26_12-20.mp4,325,val,12,0
Данные/26_12-20/26_12-20.mp4,345,train,14,0
Данные/26_12-20/26_12-20.mp4,360,train,11,0
Данные/26_12-20/26_12-20.mp4,365,train,13,0
Данные/26_12-20/26_12-20.mp4,370,train,15,0
Данные/26_12-20/26_12-20.mp4,375,train,12,0
Данные/26_12-20/26_12-20.mp4,380,train,12,0
Данные/26_12-20/26_12-20.mp4,385,train,12,0
Данные/26_12-20/26_12-20.mp4,390,train,15,0
Данные/26_12-20/26_12-20.mp4,395,train,15,0
Данные/26_12-20/26_12-20.mp4,400,train,16,0
Данные/26_12-20/26_12-20.mp4,405,train,17,0
Данные/26_12-20/26_12-20.mp4,410,train,15,0
Данные/26_12-20/26_12-20.mp4,415,train,16,0
Данные/26_12-20/26_12-20.mp4,420,train,14,0
Данные/26_12-20/26_12-20.mp4,425,train,15,0
Данные/26_12-20/26_12-20.mp4,430,train,15,0
Данные/26_12-20/26_12-20.mp4,435,val,15,0
Данные/26_12-20/26_12-20.mp4,440,train,16,0
Данные/26_12-20/26_12-20.mp4,450,train,16,0
Данные/26_12-20/26_12-20.mp4,465,train,15,0
Данные/26_12-20/26_12-20.mp4,485,val,14,0
Данные/26_12-20/26_12-20.mp4,490,train,13,0
Данные/26_12-20/26_12-20.mp4,495,train,13,0
Данные/26_12-20/26_12-20.mp4,500,train,13,0
Данные/26_12-20/26_12-20.mp4,505,train,11,0
Данные/26_12-20/26_12-20.mp4,510,train,11,0
Данные/26_12-20/26_12-20.mp4,515,train,10,0
Данные/26_12-20/26_12-20.mp4,520,train,11,0
Данные/26_12-20/26_12-20.mp4,525,train,10,0
Данные/26_12-20/26_12-20.mp4,530,train,10,0
Данные/26_12-20/26_12-20.mp4,535,train,11,0
Данные/26_12-20/26_12-20.mp4,540,train,11,0
Данные/26_12-20/26_12-20.mp4,545,train,11,0
Данные/26_12-20/26_12-20.mp4,550,val,9,0
Данные/26_12-20/26_12-20.mp4,555,train,9,0
Данные/26_12-20/26_12-20.mp4,560,train,10,0
Данные/26_12-20/26_12-20.mp4,565,train,12,0
Данные/26_12-20/26_12-20.mp4,570,train,12,0
Данные/26_12-20/26_12-20.mp4,575,val,12,0
Данные/26_12-20/26_12-20.mp4,580,val,12,0
Данные/26_12-20/26_12-20.mp4,595,val,12,0
Данные/26_12-20/26_12-20.mp4,625,train,13,0
Данные/26_12-20/26_12-20.mp4,630,train,11,0
Данные/26_12-20/26_12-20.mp4,635,train,14,0
Данные/26_12-20/26_12-20.mp4,640,train,13,0
Данные/26_12-20/26_12-20.mp4,645,train,15,0
Данные/26_12-20/26_12-20.mp4,650,train,14,0
Данные/26_12-20/26_12-20.mp4,660,train,13,0
Данные/26_12-20/26_12-20.mp4,675,train,13,0
Данные/26_12-20/26_12-20.mp4,680,train,13,0
Данные/26_12-20/26_12-20.mp4,685,train,14,0
Данные/26_12-20/26_12-20.mp4,700,val,14,0
Данные/26_12-20/26_12-20.mp4,710,train,13,0
Данные/26_12-20/26_12-20.mp4,715,train,12,0
Данные/26_12-20/26_12-20.mp4,720,val,13,0
Данные/26_12-20/26_12-20.mp4,725,train,13,0
Данные/26_12-20/26_12-20.mp4,730,train,15,0
Данные/26_12-20/26_12-20.mp4,735,train,16,0
Данные/26_12-20/26_12-20.mp4,740,train,15,0
Данные/26_12-20/26_12-20.mp4,745,train,15,0
Данные/26_12-20/26_12-20.mp4,755,train,15,0
Данные/26_12-20/26_12-20.mp4,770,val,15,0
Данные/26_12-20/26_12-20.mp4,775,val,16,0
Данные/26_12-20/26_12-20.mp4,780,train,15,0
Данные/26_12-20/26_12-20.mp4,790,train,15,0
Данные/26_12-20/26_12-20.mp4,795,train,15,0
Данные/26_12-20/26_12-20.mp4,800,train,15,0
Данные/26_12-20/26_12-20.mp4,805,train,12,0
Данные/26_12-20/26_12-20.mp4,810,val,12,0
Данные/26_12-20/26_12-20.mp4,815,val,10,0
Данные/26_12-20/26_12-20.mp4,820,train,9,0
Данные/26_12-20/26_12-20.mp4,825,train,9,0
Данные/26_12-20/26_12-20.mp4,830,train,11,0
Данные/26_12-20/26_12-20.mp4,835,train,11,0
Данные/26_12-20/26_12-20.mp4,840,train,8,0
Данные/26_12-20/26_12-20.mp4,845,train,10,0
Данные/26_12-20/26_12-20.mp4,850,train,9,1
Данные/26_12-20/26_12-20.mp4,855,val,7,1
Данные/26_12-20/26_12-20.mp4,860,train,8,1
Данные/26_12-20/26_12-20.mp4,865,train,8,1
Данные/26_12-20/26_12-20.mp4,880,train,9,1
Данные/26_12-20/26_12-20.mp4,900,train,6,1
Данные/26_12-20/26_12-20.mp4,920,train,6,1
Данные/26_12-20/26_12-20.mp4,925,train,6,0
Данные/26_12-20/26_12-20.mp4,930,train,5,0
Данные/26_12-20/26_12-20.mp4,935,train,4,0
Данные/26_12-20/26_12-20.mp4,940,train,3,0
Данные/26_12-20/26_12-20.mp4,945,train,5,0
Данные/26_12-20/26_12-20.mp4,950,val,8,0
Данные/26_12-20/26_12-20.mp4,955,train,8,1
Данные/26_12-20/26_12-20.mp4,960,train,9,1
Данные/26_12-20/26_12-20.mp4,965,train,10,1
Данные/26_12-20/26_12-20.mp4,970,train,10,1
Данные/26_12-20/26_12-20.mp4,975,train,10,1
Данные/26_12-20/26_12-20.mp4,980,train,10,0
Данные/26_12-20/26_12-20.mp4,985,train,9,1
Данные/26_12-20/26_12-20.mp4,990,train,13,1
Данные/26_12-20/26_12-20.mp4,995,val,12,1
Данные/26_12-20/26_12-20.mp4,1000,train,12,0
Данные/26_12-20/26_12-20.mp4,1005,train,11,1
Данные/26_12-20/26_12-20.mp4,1020,train,13,1
Данные/26_12-20/26_12-20.mp4,1055,train,11,1
Данные/26_12-20/26_12-20.mp4,1060,train,12,1
Данные/26_12-20/26_12-20.mp4,1065,train,13,1
Данные/26_12-20/26_12-20.mp4,1070,train,12,1
Данные/26_12-20/26_12-20.mp4,1075,train,11,1
Данные/26_12-20/26_12-20.mp4,1080,val,13,1
Данные/26_12-20/26_12-20.mp4,1085,train,14,1
Данные/26_12-20/26_12-20.mp4,1090,train,12,0
Данные/26_12-20/26_12-20.mp4,1095,train,14,0
Данные/26_12-20/26_12-20.mp4,1100,train,11,0
Данные/26_12-20/26_12-20.mp4,1105,train,11,0
Данные/26_12-20/26_12-20.mp4,1110,train,10,0
Данные/26_12-20/26_12-20.mp4,1115,train,13,0
Данные/26_12-20/26_12-20.mp4,1120,train,13,0
Данные/26_12-20/26_12-20.mp4,1125,train,16,0
Данные/26_12-20/26_12-20.mp4,1130,train,15,0
Данные/26_12-20/26_12-20.mp4,1135,val,17,0
Данные/26_12-20/26_12-20.mp4,1140,train,17,0
Данные/26_12-20/26_12-20.mp4,1145,train,17,0
Данные/26_12-20/26_12-20.mp4,1150,train,17,0
Данные/26_12-20/26_12-20.mp4,1155,train,17,0
Данные/26_12-20/26_12-20.mp4,1180,val,15,0
Данные/26_12-20/26_12-20.mp4,1195,train,15,0
Данные/26_12-20/26_12-20.mp4,1200,train,17,0
Данные/26_12-20/26_12-20.mp4,1205,train,13,0
Данные/26_12-20/26_12-20.mp4,1210,train,14,1
Данные/26_12-20/26_12-20.mp4,1215,train,17,1
Данные/26_12-20/26_12-20.mp4,1220,train,17,1
Данные/26_12-20/26_12-20.mp4,1225,train,18,1
Данные/26_12-20/26_12-20.mp4,1230,train,18,1
Данные/26_12-20/26_12-20.mp4,1235,train,20,0
Данные/26_12-20/26_12-20.mp4,1240,val,20,0
Данные/26_12-20/26_12-20.mp4,1245,train,24,0
Данные/26_12-20/26_12-20.mp4,1250,train,23,0
Данные/26_12-20/26_12-20.mp4,1255,train,20,0
Данные/26_12-20/26_12-20.mp4,1260,train,19,0
Данные/26_12-20/26_12-20.mp4,1265,train,17,0
Данные/26_12-20/26_12-20.mp4,1270,train,15,1
Данные/26_12-20/26_12-20.mp4,1275,val,17,0
Данные/26_12-20/26_12-20.mp4,1280,train,16,0
Данные/26_12-20/26_12-20.mp4,1285,train,14,0
Данные/26_12-20/26_12-20.mp4,1290,train,15,0
Данные/26_12-20/26_12-20.mp4,1300,train,14,0
Данные/26_12-20/26_12-20.mp4,1325,train,15,0
Данные/26_12-20/26_12-20.mp4,1335,train,16,0
Данные/26_12-20/26_12-20.mp4,1340,train,14,1
Данные/26_12-20/26_12-20.mp4,1345,train,13,1
Данные/26_12-20/26_12-20.mp4,1350,train,12,1
Данные/26_12-20/26_12-20.mp4,1355,train,13,1
Данные/26_12-20/26_12-20.mp4,1360,val,11,1
Данные/26_12-20/26_12-20.mp4,1365,train,13,1
Данные/26_12-20/26_12-20.mp4,1370,train,14,1
Данные/26_12-20/26_12-20.mp4,1375,train,13,1
Данные/26_12-20/26_12-20.mp4,1380,train,14,1
Данные/26_12-20/26_12-20.mp4,1385,train,16,1
Данные/26_12-20/26_12-20.mp4,1390,train,17,1
Данные/26_12-20/26_12-20.mp4,1395,train,15,1
Данные/26_12-20/26_12-20.mp4,1400,val,14,0
Данные/26_12-20/26_12-20.mp4,1405,train,14,1
Данные/26_12-20/26_12-20.mp4,1410,train,13,1
Данные/26_12-20/26_12-20.mp4,1415,train,14,1
Данные/26_12-20/26_12-20.mp4,1420,train,13,1
Данные/26_12-20/26_12-20.mp4,1425,train,13,1
Данные/26_12-20/26_12-20.mp4,1435,train,13,1
Данные/26_12-20/26_12-20.mp4,1450,train,13,1
Данные/26_12-20/26_12-20.mp4,1460,train,13,1
Данные/26_12-20/26_12-20.mp4,1465,train,14,1
Данные/26_12-20/26_12-20.mp4,1470,train,17,1
Данные/26_12-20/26_12-20.mp4,1475,train,13,1
Данные/26_12-20/26_12-20.mp4,1480,val,14,1
Данные/26_12-20/26_12-20.mp4,1485,train,15,1
Данные/26_12-20/26_12-20.mp4,1490,train,13,1
Данные/26_12-20/26_12-20.mp4,1495,train,13,0
Данные/26_12-20/26_12-20.mp4,1500,train,12,0
Данные/26_12-20/26_12-20.mp4,1505,train,11,0
Данные/26_12-20/26_12-20.mp4,1510,train,10,0
Данные/26_12-20/26_12-20.mp4,1515,train,12,0
Данные/26_12-20/26_12-20.mp4,1520,train,12,0
Данные/26_12-20/26_12-20.mp4,1525,val,13,0
Данные/26_12-20/26_12-20.mp4,1530,train,10,0
Данные/26_12-20/26_12-20.mp4,1535,train,10,0
Данные/26_12-20/26_12-20.mp4,1540,train,11,1
Данные/26_12-20/26_12-20.mp4,1545,val,10,1
Данные/26_12-20/26_12-20.mp4,1560,train,12,1
Данные/26_12-20/26_12-20.mp4,1570,train,12,2
Данные/26_12-20/26_12-20.mp4,1575,train,11,1
Данные/26_12-20/26_12-20.mp4,1580,train,10,0
Данные/26_12-20/26_12-20.mp4,1585,train,9,1
Данные/26_12-20/26_12-20.mp4,1590,train,11,1
Данные/26_12-20/26_12-20.mp4,1595,train,11,1
Данные/26_12-20/26_12-20.mp4,1600,val,8,2
Данные/26_12-20/26_12-20.mp4,1605,train,9,2
Данные/26_12-20/26_12-20.mp4,1610,train,10,2
Данные/26_12-20/26_12-20.mp4,1615,val,12,1
Данные/26_12-20/26_12-20.mp4,1620,train,14,2
Данные/26_12-20/26_12-20.mp4,1625,train,17,2
Данные/26_12-20/26_12-20.mp4,1630,train,16,2
Данные/26_12-20/26_12-20.mp4,1635,train,19,2
Данные/26_12-20/26_12-20.mp4,1640,val,14,2
Данные/26_12-20/26_12-20.mp4,1645,train,16,2
Данные/26_12-20/26_12-20.mp4,1650,train,18,2
Данные/26_12-20/26_12-20.mp4,1655,train,18,2
Данные/26_12-20/26_12-20.mp4,1660,train,18,2
Данные/26_12-20/26_12-20.mp4,1665,train,17,2
Данные/26_12-20/26_12-20.mp4,1690,train,18,2
Данные/26_12-20/26_12-20.mp4,1695,train,19,1
Данные/26_12-20/26_12-20.mp4,1700,train,17,1
Данные/26_12-20/26_12-20.mp4,1705,train,17,1
Данные/26_12-20/26_12-20.mp4,1710,train,18,1
Данные/26_12-20/26_12-20.mp4,1715,train,18,1
Данные/26_12-20/26_12-20.mp4,1720,train,16,1
Данные/26_12-20/26_12-20.mp4,1725,train,17,1
Данные/26_12-20/26_12-20.mp4,1730,train,15,0
Данные/26_12-20/26_12-20.mp4,1735,train,18,0
Данные/26_12-20/26_12-20.mp4,1740,train,16,0
Данные/26_12-20/26_12-20.mp4,1745,train,15,0
Данные/26_12-20/26_12-20.mp4,1750,train,16,0
Данные/26_12-20/26_12-20.mp4,1755,train,13,0
Данные/26_12-20/26_12-20.mp4,1760,train,13,0
Данные/26_12-20/26_12-20.mp4,1765,train,16,0
Данные/26_12-20/26_12-20.mp4,1775,train,17,0
Данные/43_15/43_15.mp4,0,train,19,5
Данные/43_15/43_15.mp4,45,train,19,5
Данные/43_15/43_15.mp4,50,val,18,5
Данные/43_15/43_15.mp4,55,train,18,4
Данные/43_15/43_15.mp4,60,train,17,4
Данные/43_15/43_15.mp4,65,train,17,5
Данные/43_15/43_15.mp4,70,train,18,3
Данные/43_15/43_15.mp4,75,val,18,2
Данные/43_15/43_15.mp4,80,train,18,2
Данные/43_15/43_15.mp4,85,train,17,2
Данные/43_15/43_15.mp4,90,train,15,2
Данные/43_15/43_15.mp4,95,val,16,2
Данные/43_15/43_15.mp4,100,train,16,2
Данные/43_15/43_15.mp4,105,train,19,2
Данные/43_15/43_15.mp4,110,train,16,2
Данные/43_15/43_15.mp4,115,train,17,2
Данные/43_15/43_15.mp4,120,train,18,1
Данные/43_15/43_15.mp4,125,train,16,0
Данные/43_15/43_15.mp4,130,train,15,0
Данные/43_15/43_15.mp4,135,train,16,1
Данные/43_15/43_15.mp4,140,train,18,1
Данные/43_15/43_15.mp4,145,train,18,0
Данные/43_15/43_15.mp4,150,train,20,0
Данные/43_15/43_15.mp4,160,val,22,2
Данные/43_15/43_15.mp4,190,train,21,3
Данные/43_15/43_15.mp4,225,train,22,3
Данные/43_15/43_15.mp4,280,train,22,3
Данные/Unlabeled/25_12-20.mp4,0,train,9,6
Данные/Unlabeled/25_12-20.mp4,5,train,9,6
Данные/Unlabeled/25_12-20.mp4,10,train,9,6
Данные/Unlabeled/25_12-20.mp4,15,train,10,6
Данные/Unlabeled/25_12-20.mp4,20,train,12,6
Данные/Unlabeled/25_12-20.mp4,25,train,12,6
Данные/Unlabeled/25_12-20.mp4,30,train,11,8
Данные/Unlabeled/25_12-20.mp4,35,train,12,8
Данные/Unlabeled/25_12-20.mp4,40,val,13,7
Данные/Unlabeled/25_12-20.mp4,45,train,13,7
Данные/Unlabeled/25_12-20.mp4,50,train,13,9
Данные/Unlabeled/25_12-20.mp4,55,train,12,8
Данные/Unlabeled/25_12-20.mp4,60,train,13,9
Данные/Unlabeled/25_12-20.mp4,65,train,11,9
Данные/Unlabeled/25_12-20.mp4,70,val,12,10
Данные/Unlabeled/25_12-20.mp4,75,train,10,11
Данные/Unlabeled/25_12-20.mp4,80,val,11,13
Данные/Unlabeled/25_12-20.mp4,85,train,12,11
Данные/Unlabeled/25_12-20.mp4,90,train,11,11
Данные/Unlabeled/25_12-20.mp4,95,val,12,12
Данные/Unlabeled/25_12-20.mp4,100,train,12,11
Данные/Unlabeled/25_12-20.mp4,110,val,12,6
Данные/Unlabeled/25_12-20.mp4,130,train,8,6
Данные/Unlabeled/25_12-20.mp4,150,val,11,6
Данные/Unlabeled/25_12-20.mp4,155,train,12,6
Данные/Unlabeled/25_12-20.mp4,160,train,9,8
Данные/Unlabeled/25_12-20.mp4,165,train,12,5
Данные/Unlabeled/25_12-20.mp4,170,train,11,5
