id,source,video,barcode,strip_path
gt_26_12-20_0041,gt_video,26_12-20,8054754895391,strips/gt_26_12-20_0041.png
gt_26_12-20_0042,gt_video,26_12-20,4690491103517,strips/gt_26_12-20_0042.png
gt_26_12-20_0043,gt_video,26_12-20,8001935361404,strips/gt_26_12-20_0043.png
gt_26_12-20_0044,gt_video,26_12-20,4690491103630,strips/gt_26_12-20_0044.png
gt_26_12-20_0045,gt_video,26_12-20,4690491103470,strips/gt_26_12-20_0045.png
gt_26_12-20_0046,gt_video,26_12-20,8028752904096,strips/gt_26_12-20_0046.png
gt_26_12-20_0047,gt_video,26_12-20,4690491210307,strips/gt_26_12-20_0047.png
gt_26_12-20_0048,gt_video,26_12-20,8016118511156,strips/gt_26_12-20_0048.png
gt_26_12-20_0049,gt_video,26_12-20,4610094285489,strips/gt_26_12-20_0049.png
gt_26_12-20_0050,gt_video,26_12-20,8055731671038,strips/gt_26_12-20_0050.png
gt_26_12-20_0051,gt_video,26_12-20,8002793958379,strips/gt_26_12-20_0051.png
gt_26_12-20_0052,gt_video,26_12-20,4690491203293,strips/gt_26_12-20_0052.png
gt_26_12-20_0053,gt_video,26_12-20,8016608000115,strips/gt_26_12-20_0053.png
gt_26_12-20_0054,gt_video,26_12-20,4690491116104,strips/gt_26_12-20_0054.png
gt_26_12-20_0055,gt_video,26_12-20,8410113555267,strips/gt_26_12-20_0055.png
gt_26_12-20_0056,gt_video,26_12-20,8002793010756,strips/gt_26_12-20_0056.png
gt_26_12-20_0057,gt_video,26_12-20,8000757005510,strips/gt_26_12-20_0057.png
gt_26_12-20_0058,gt_video,26_12-20,8009620822285,strips/gt_26_12-20_0058.png
gt_26_12-20_0059,gt_video,26_12-20,8031481003435,strips/gt_26_12-20_0059.png
gt_26_12-20_0060,gt_video,26_12-20,8005374000436,strips/gt_26_12-20_0060.png
gt_26_12-20_0061,gt_video,26_12-20,8019873924551,strips/gt_26_12-20_0061.png
gt_26_12-20_0062,gt_video,26_12-20,8032758710537,strips/gt_26_12-20_0062.png
gt_26_12-20_0063,gt_video,26_12-20,5600353670193,strips/gt_26_12-20_0063.png
gt_26_12-20_0065,gt_video,26_12-20,8437008695891,strips/gt_26_12-20_0065.png
gt_26_12-20_0066,gt_video,26_12-20,5604242009491,strips/gt_26_12-20_0066.png
gt_26_12-20_0067,gt_video,26_12-20,8437008807546,strips/gt_26_12-20_0067.png
gt_26_12-20_0068,gt_video,26_12-20,8410702068468,strips/gt_26_12-20_0068.png
gt_26_12-20_0069,gt_video,26_12-20,8411106085310,strips/gt_26_12-20_0069.png
gt_26_12-20_0070,gt_video,26_12-20,8436033846674,strips/gt_26_12-20_0070.png
gt_43_15_0000,gt_video,43_15,4603552017456,strips/gt_43_15_0000.png
gt_43_15_0001,gt_video,43_15,4607030000770,strips/gt_43_15_0001.png
gt_43_15_0002,gt_video,43_15,4627093813599,strips/gt_43_15_0002.png
gt_43_15_0003,gt_video,43_15,4627093818105,strips/gt_43_15_0003.png
gt_43_15_0004,gt_video,43_15,4607072770907,strips/gt_43_15_0004.png
gt_43_15_0005,gt_video,43_15,4607072770914,strips/gt_43_15_0005.png
gt_43_15_0006,gt_video,43_15,4607072772314,strips/gt_43_15_0006.png
gt_43_15_0007,gt_video,43_15,4606068709914,strips/gt_43_15_0007.png
gt_43_15_0008,gt_video,43_15,4607955860022,strips/gt_43_15_0008.png
gt_43_15_0009,gt_video,43_15,4607030000794,strips/gt_43_15_0009.png
gt_43_15_0010,gt_video,43_15,4630042269644,strips/gt_43_15_0010.png
gt_43_15_0011,gt_video,43_15,4607030000916,strips/gt_43_15_0011.png
gt_43_15_0012,gt_video,43_15,4607030000909,strips/gt_43_15_0012.png
gt_43_15_0013,gt_video,43_15,4603552015186,strips/gt_43_15_0013.png
gt_43_15_0014,gt_video,43_15,4603552015193,strips/gt_43_15_0014.png
gt_43_15_0015,gt_video,43_15,4607004989186,strips/gt_43_15_0015.png
gt_43_15_0016,gt_video,43_15,4606068893262,strips/gt_43_15_0016.png
gt_43_15_0017,gt_video,43_15,4606068893255,strips/gt_43_15_0017.png
gt_43_15_0018,gt_video,43_15,4640003803992,strips/gt_43_15_0018.png
gt_43_15_0019,gt_video,43_15,4606068893248,strips/gt_43_15_0019.png
gt_43_15_0020,gt_video,43_15,4606068893279,strips/gt_43_15_0020.png
gt_43_15_0023,gt_video,43_15,4607936173547,strips/gt_43_15_0023.png
gt_43_15_0024,gt_video,43_15,4627093811472,strips/gt_43_15_0024.png
gt_43_15_0027,gt_video,43_15,4606068745455,strips/gt_43_15_0027.png
gt_43_15_0028,gt_video,43_15,4607025805700,strips/gt_43_15_0028.png
